sent-id,regression,SVM,MLP,RF,all_true,all_false,one_true
27208,False,True,False,False,False,False,True
42126,True,True,True,True,True,False,False
1907,False,False,True,True,False,False,False
29638,False,False,False,False,False,True,False
1686,True,False,True,True,False,False,False
1683,True,False,True,True,False,False,False
27312,True,False,True,True,False,False,False
27349,True,True,False,True,False,False,False
12270,True,False,True,True,False,False,False
12369,True,False,False,True,False,False,False
42072,True,True,True,True,True,False,False
12448,True,False,True,True,False,False,False
1865,True,False,False,True,False,False,False
2127,False,False,False,False,False,True,False
27259,True,True,False,True,False,False,False
26960,False,False,False,False,False,True,False
29486,True,False,True,True,False,False,False
2092,False,False,False,False,False,True,False
9770,False,False,False,False,False,True,False
26854,False,True,False,True,False,False,False
12087,True,False,True,True,False,False,False
29218,False,True,False,False,False,False,True
10146,True,False,True,True,False,False,False
29364,True,False,True,True,False,False,False
12403,False,False,True,True,False,False,False
1039,False,False,True,True,False,False,False
1709,True,False,True,False,False,False,False
1236,True,False,True,True,False,False,False
12313,False,False,True,False,False,False,True
42002,False,False,False,False,False,True,False
42454,False,False,False,False,False,True,False
26879,False,True,False,True,False,False,False
12315,True,False,False,True,False,False,False
42365,True,True,True,False,False,False,False
9798,True,False,True,True,False,False,False
26859,True,False,False,False,False,False,True
42148,True,True,True,True,True,False,False
26876,False,True,False,True,False,False,False
1356,True,False,True,True,False,False,False
10057,True,False,True,True,False,False,False
12267,True,False,True,True,False,False,False
42319,False,False,False,False,False,True,False
29489,True,False,True,True,False,False,False
42192,True,True,True,True,True,False,False
9969,False,False,False,False,False,True,False
12495,False,False,False,True,False,False,True
42320,True,True,True,True,True,False,False
42030,True,True,True,True,True,False,False
12354,False,False,False,False,False,True,False
12407,True,False,True,True,False,False,False
12349,False,False,False,False,False,True,False
12510,True,False,True,True,False,False,False
42058,True,True,True,True,True,False,False
1657,True,False,True,True,False,False,False
42233,False,False,False,False,False,True,False
42273,False,False,False,False,False,True,False
29579,True,True,False,True,False,False,False
1100,True,False,False,False,False,False,True
12319,False,False,False,True,False,False,True
1696,False,False,True,True,False,False,False
1741,True,False,True,True,False,False,False
29520,True,False,True,False,False,False,False
27191,False,True,False,False,False,False,True
2047,False,False,False,True,False,False,True
29540,True,False,True,True,False,False,False
1189,True,False,True,True,False,False,False
9991,True,False,True,False,False,False,False
1771,False,False,False,False,False,True,False
1199,True,False,True,True,False,False,False
10036,False,False,True,True,False,False,False
29267,True,False,True,True,False,False,False
12527,True,False,True,True,False,False,False
29298,True,False,True,True,False,False,False
12192,False,False,True,False,False,False,True
9917,False,False,False,False,False,True,False
2099,True,False,True,True,False,False,False
2040,True,False,True,True,False,False,False
42453,True,True,True,True,True,False,False
9711,True,False,True,False,False,False,False
9773,False,False,False,True,False,False,True
1716,True,False,True,True,False,False,False
42173,False,True,True,True,False,False,False
1931,False,False,False,False,False,True,False
29574,True,False,True,True,False,False,False
