sent-id,regression,SVM,MLP,RF,all_true,all_false,one_true
1292,True,False,True,True,False,False,False
12229,True,False,False,False,False,False,True
9677,True,False,False,False,False,False,True
1324,False,False,False,True,False,False,True
9918,True,False,True,True,False,False,False
9668,True,False,True,False,False,False,False
1468,True,False,True,True,False,False,False
10155,False,False,False,False,False,True,False
2077,True,False,True,True,False,False,False
27154,True,False,True,True,False,False,False
9898,False,False,True,True,False,False,False
9700,False,True,False,False,False,False,True
9978,True,False,True,True,False,False,False
10037,True,False,True,True,False,False,False
26929,True,True,False,True,False,False,False
29521,True,False,True,True,False,False,False
42415,False,False,False,False,False,True,False
27270,True,False,True,True,False,False,False
1327,True,False,True,True,False,False,False
12253,False,False,True,True,False,False,False
1296,True,False,True,True,False,False,False
42029,True,False,False,False,False,False,True
1781,True,False,True,True,False,False,False
12210,True,False,False,False,False,False,True
10030,False,False,False,True,False,False,True
27159,True,False,True,True,False,False,False
29416,False,True,False,True,False,False,False
27063,False,True,False,False,False,False,True
1105,True,False,True,True,False,False,False
12501,True,False,True,True,False,False,False
2021,True,False,True,True,False,False,False
12384,True,False,True,True,False,False,False
29588,False,False,True,False,False,False,True
12347,False,False,False,False,False,True,False
12388,True,False,True,True,False,False,False
9753,True,False,True,True,False,False,False
12282,True,False,True,True,False,False,False
1333,False,False,True,False,False,False,True
12371,True,False,False,True,False,False,False
42325,True,True,True,True,True,False,False
29665,False,True,False,False,False,False,True
10119,False,False,True,True,False,False,False
29651,True,False,True,True,False,False,False
9804,False,False,True,True,False,False,False
42441,True,True,True,True,True,False,False
29376,False,True,False,False,False,False,True
12280,True,False,True,True,False,False,False
2154,True,False,False,False,False,False,True
1872,False,False,False,True,False,False,True
26924,False,True,False,True,False,False,False
29242,True,False,True,True,False,False,False
42497,False,False,False,False,False,True,False
1201,True,False,True,True,False,False,False
29381,True,False,True,True,False,False,False
1072,False,False,False,False,False,True,False
10076,True,False,False,False,False,False,True
12387,True,False,True,True,False,False,False
10068,False,False,False,False,False,True,False
42145,True,True,True,True,True,False,False
29492,True,False,True,True,False,False,False
9791,False,True,False,False,False,False,True
42004,True,True,True,True,True,False,False
1139,True,False,True,True,False,False,False
42006,False,False,False,True,False,False,True
27020,True,False,True,False,False,False,False
42304,True,True,True,True,True,False,False
29393,False,False,True,False,False,False,True
9713,True,False,True,True,False,False,False
12504,True,False,True,True,False,False,False
1161,False,False,False,True,False,False,True
27315,False,True,False,False,False,False,True
29445,True,False,True,True,False,False,False
1733,True,False,True,True,False,False,False
29641,True,False,True,True,False,False,False
1868,False,False,True,True,False,False,False
27317,False,True,False,True,False,False,False
1158,True,False,True,True,False,False,False
9887,True,False,True,True,False,False,False
1963,True,False,True,True,False,False,False
26882,True,False,True,True,False,False,False
29279,True,False,True,True,False,False,False
29436,True,False,True,True,False,False,False
1184,True,False,False,False,False,False,True
12518,False,False,False,True,False,False,True
12172,True,False,True,True,False,False,False
12519,True,False,True,False,False,False,False
42196,True,True,True,True,True,False,False
12475,False,False,True,True,False,False,False
42182,False,False,False,False,False,True,False
42432,True,True,True,True,True,False,False
10010,False,False,False,False,False,True,False
1762,False,False,False,False,False,True,False
42240,False,False,False,False,False,True,False
29427,True,False,True,True,False,False,False
10138,False,False,False,True,False,False,True
27299,False,True,False,True,False,False,False
1832,False,False,True,False,False,False,True
1117,True,False,False,False,False,False,True
29267,True,False,True,True,False,False,False
42463,True,False,False,True,False,False,False
27266,True,True,False,False,False,False,False
12291,True,False,True,True,False,False,False
29398,True,False,True,True,False,False,False
27115,True,False,True,True,False,False,False
12380,True,False,True,True,False,False,False
