sent-id,disj_count,min_dep_length,conj_count,mean_dep_length,token_count,verb_count,max_dep_length,class_score,flesh_reading_ease,is_sent,big_np_count,big_pp_count,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized
29326,0,1,0,2.2,6,1,4,0.99,32.56,1,0,0,ludwik-lejzer-zamenhof,Zamenhof macht seine Menschheits-lehre bekannt.,7_long,Personen,2022-02-22T09:57:25Z,e800bebc9060331edfac65e663a55570,0:=Zamenhof 1:=macht 2:=seine 3:=Menschheits-lehre 4:=bekannt.
29551,0,1,0,2.67,7,1,5,0.71,48.47,1,0,0,madonna-kunstlerin,Sie hat in verschiedenen Filmen mitgespielt.,20_long,Personen|Musik,2014-08-16T08:48:07Z,28d34f2e053dee2c0e9399a7924cd978,0:=Sie 1:=hat 2:=in 3:=verschiedenen 4:=Filmen 5:=mitgespielt.
27349,0,1,0,1.9,11,0,8,1.0,69.79,1,1,1,kultusminister,Der Kultusminister ist der Chef von allen Lehrerinnen und Lehrern.,0_long,Politik,2009-11-27T17:58:10Z,1165823e29d5567f66ef3bbbcbfabcad,0:=Der 1:=Kultusminister 2:=ist 3:=der 4:=Chef 5:=von 6:=allen 7:=Lehrerinnen 8:=und 9:=Lehrern.
12401,0,1,0,2.17,7,1,5,1.0,90.77,1,0,0,eifersucht,Oft kommt es auch zu Gewalt-taten.,5_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-01-03T17:00:58Z,e800bebc9060331edfac65e663a55570,0:=Oft 1:=kommt 2:=es 3:=auch 4:=zu 5:=Gewalt-taten.
10088,0,1,0,1.75,5,0,3,1.0,92.8,1,0,0,demenz,Das wird immer schlechter.,1_long,Gesundheit|Seiten_mit_defekten_Dateilinks,2012-10-27T17:19:13Z,a6e7bfd89d5771b450c4ab0f5c2996e5,0:=Das 1:=wird 2:=immer 3:=schlechter.
9902,0,1,0,2.33,7,0,5,0.96,99.23,1,0,0,datenschutz,Datenschutz ist für eine Demokratie wichtig.,12_long,Recht_und_Gesetz|Seiten_mit_defekten_Dateilinks,2022-10-29T04:32:19Z,48f66906899cc4a9477b6c9e32ff4424,0:=Datenschutz 1:=ist 2:=für 3:=eine 4:=Demokratie 5:=wichtig.
12366,0,1,0,1.88,9,0,6,1.0,80.28,1,1,0,eierkennzeichnung,Die Eier-kennzeichnung ist eine Nummer auf einem Ei.,0_short,Essen_und_Trinken|Seiten_mit_defekten_Dateilinks,2017-08-21T17:28:10Z,d57f62e2ae2713c7395b7d7e5bf821eb,0:=Die 1:=Eier-kennzeichnung 2:=ist 3:=eine 4:=Nummer 5:=auf 6:=einem 7:=Ei.
42078,0,1,0,3.12,9,2,7,1.0,81.29,1,0,0,sit-in,"Sie zeigen, dass sie Rassismus schlecht finden.",7_long,Politik,2018-05-01T06:26:34Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Sie 1:=zeigen, 2:=dass 3:=sie 4:=Rassismus 5:=schlecht 6:=finden."
1713,0,1,0,2.14,8,1,5,0.99,106.67,1,0,0,anakonda,Die Anakonda schluckt das Opfer ganz runter.,21_long,Tiere|Reptilien,2021-03-30T09:18:50Z,5fa944995d8c21065f2309550624baf9,0:=Die 1:=Anakonda 2:=schluckt 3:=das 4:=Opfer 5:=ganz 6:=runter.
42303,0,1,0,2.0,14,3,5,1.0,62.34,1,0,0,smalltalk,Smalltalk hat zwei englische Wörter: • Talk (heißt: sich unterhalten),3_long,Sprache,2014-01-23T10:58:39Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Smalltalk 1:=hat 2:=zwei 3:=englische 4:=Wörter: 5:=• 6:=Talk 7:=(heißt: 8:=sich 9:=unterhalten)
12281,0,1,0,2.0,6,1,4,1.0,117.16,1,0,0,ehe,Manche machen auch eigene Regeln.,4_long,Recht_und_Gesetz,2019-01-14T08:43:52Z,48f66906899cc4a9477b6c9e32ff4424,0:=Manche 1:=machen 2:=auch 3:=eigene 4:=Regeln.
2043,0,1,0,2.17,7,1,5,1.0,90.77,1,0,0,anschlag-auf-den-bus-von-borussia-dortmund,Er wollte damit viel Geld verdienen.,15_long,Aus_den_Nachrichten|Hurraki:Überarbeiten|Geschichte|Seiten_mit_defekten_Dateilinks,2017-04-15T05:42:54Z,48f66906899cc4a9477b6c9e32ff4424,0:=Er 1:=wollte 2:=damit 3:=viel 4:=Geld 5:=verdienen.
42255,0,1,0,2.2,6,0,4,0.99,83.32,1,1,0,slackline,Slagline ist ein englisches Wort.,2_long,Sport,2012-10-07T13:48:29Z,d4171b2c36772be4cad75ef4078874bd,0:=Slagline 1:=ist 2:=ein 3:=englisches 4:=Wort.
12467,0,1,0,2.0,8,0,5,1.0,81.29,1,1,0,einfache-sprache,Einfache Sprache ist ähnlich wie Leichte Sprache.,1_short,Sprache|Hurraki|Leichte_Sprache,2015-01-01T19:58:21Z,be9da3e660311583f64df8d974bcb2fe,0:=Einfache 1:=Sprache 2:=ist 3:=ähnlich 4:=wie 5:=Leichte 6:=Sprache.
42239,0,1,0,2.2,6,0,4,0.99,83.32,1,1,0,skriptkiddie,Kid ist ein englisches Wort.,7_long,Ohne_Kategorie,2013-02-25T08:09:05Z,28d34f2e053dee2c0e9399a7924cd978,0:=Kid 1:=ist 2:=ein 3:=englisches 4:=Wort.
9898,0,1,0,4.3,11,1,10,1.0,96.18,1,1,0,datenschutz,Zum Beispiel: • ob jemand Daten von mir haben kann,8_long,Recht_und_Gesetz|Seiten_mit_defekten_Dateilinks,2022-10-29T04:32:19Z,48f66906899cc4a9477b6c9e32ff4424,0:=Zum 1:=Beispiel: 2:=• 3:=ob 4:=jemand 5:=Daten 6:=von 7:=mir 8:=haben 9:=kann
9705,0,1,0,1.86,10,1,3,1.0,80.28,0,0,0,da-steppt-der-bar,Beispiel: \newline Auf der Geburtstagsfeier steppt der Bär.,0_long,Redewendungen,2012-02-28T08:59:39Z,a9f29492ed8786de5125371472bcc003,0:=Beispiel: 1:=\newline 2:=Auf 3:=der 4:=Geburtstagsfeier 5:=steppt 6:=der 7:=Bär.
