sent-id,disj_count,min_dep_length,conj_count,mean_dep_length,token_count,verb_count,max_dep_length,class_score,flesh_reading_ease,is_sent,big_np_count,big_pp_count,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized
42273,0,1,0,1.14,10,1,2,1.0,64.37,1,0,0,slam,Slam gibt es: • beim Basketball  beim Slam-Dunking,1_short,Wörter_mit_verschiedenen_Bedeutungen,2014-08-05T19:10:37Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Slam 1:=gibt 2:=es: 3:=• 4:=beim 5:=Basketball 6:= 7:=beim 8:=Slam-Dunking
27054,0,1,0,1.83,7,0,5,1.0,73.85,1,0,0,krafttraining,Das sind Wieder-holungen und eine Pause.,9_long,Sport|Seiten_mit_defekten_Dateilinks,2019-10-28T08:05:49Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Das 1:=sind 2:=Wieder-holungen 3:=und 4:=eine 5:=Pause.
42366,0,1,0,2.5,7,0,5,1.0,56.93,1,0,0,sneak-preview,Weil es meistens keine Hollywood-Filme sind.,13_long,Film_und_Kino|Seiten_mit_defekten_Dateilinks,2017-10-23T06:43:33Z,48f66906899cc4a9477b6c9e32ff4424,0:=Weil 1:=es 2:=meistens 3:=keine 4:=Hollywood-Filme 5:=sind.
12511,0,1,0,2.71,8,2,6,1.0,106.67,1,0,0,einkommen-aus-besitz,Du lässt Menschen in deinem Haus wohnen.,12_long,Geld,2021-10-30T11:15:40Z,4e761a928113c1f23dda0939b1022778,0:=Du 1:=lässt 2:=Menschen 3:=in 4:=deinem 5:=Haus 6:=wohnen.
9754,0,1,0,2.88,17,2,8,1.0,109.04,1,0,1,dalai-lama,"Wenn man mit dem Dalai Lama spricht, sagt man ""Seine Heiligkeit"" zu ihm.",2_long,Religion,2008-02-05T15:10:08Z,e3afed0047b08059d0fada10f400c1e5,"0:=Wenn 1:=man 2:=mit 3:=dem 4:=Dalai 5:=Lama 6:=spricht, 7:=sagt 8:=man 9:=""Seine 10:=Heiligkeit"" 11:=zu 12:=ihm."
12326,0,1,0,2.0,6,1,4,0.98,117.16,1,0,0,ehe,Manche schenken sich einen Ehe-ring.,5_short,Recht_und_Gesetz,2019-01-14T08:43:52Z,48f66906899cc4a9477b6c9e32ff4424,0:=Manche 1:=schenken 2:=sich 3:=einen 4:=Ehe-ring.
12325,0,1,0,1.5,7,0,2,1.0,90.77,1,1,0,ehe,Ein anderes Wort dafür ist Heiraten.,4_short,Recht_und_Gesetz,2019-01-14T08:43:52Z,48f66906899cc4a9477b6c9e32ff4424,0:=Ein 1:=anderes 2:=Wort 3:=dafür 4:=ist 5:=Heiraten.
26968,0,1,0,1.33,4,0,2,0.55,93.81,1,0,0,korpergewicht,Es ist un-gesund.,3_long,Gesundheit|Seiten_mit_defekten_Dateilinks,2019-12-27T09:05:27Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Es 1:=ist 2:=un-gesund.
1426,0,1,0,2.88,9,1,7,1.0,80.28,1,1,0,altes-agypten,Weil sie viel Wasser aus dem Nil-fluß hatten.,2_long,Geschichte,2020-09-17T09:34:33Z,46c3c87395bab21fd30e35b682a73fd0,0:=Weil 1:=sie 2:=viel 3:=Wasser 4:=aus 5:=dem 6:=Nil-fluß 7:=hatten.
1656,0,1,0,1.6,6,0,3,0.62,83.32,1,0,0,amtseid,Ein Amtseid ist eine Erklärung.,0_short,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Ein 1:=Amtseid 2:=ist 3:=eine 4:=Erklärung.
