sent-id,regression,SVM,MLP,RF,all_true,all_false,one_true
2089,1,5,1,1,False,False,False
12337,2,4,1,2,False,False,False
29563,4,5,1,2,False,True,False
9668,1,4,1,2,False,False,False
42320,1,1,1,1,True,False,False
12507,1,4,1,1,False,False,False
1657,1,5,1,1,False,False,False
26947,1,5,1,1,False,False,False
12098,3,4,1,2,False,False,True
27217,1,5,1,1,False,False,False
1790,4,5,1,4,False,False,False
1886,1,5,1,1,False,True,False
1158,1,5,1,1,False,False,False
42217,3,1,1,2,False,False,True
1779,1,5,1,1,False,True,False
1123,2,5,1,1,False,False,False
1298,2,5,1,2,False,False,False
1462,1,5,1,1,False,False,False
12279,2,4,1,2,False,False,True
12479,1,4,1,1,False,False,False
1421,1,5,1,1,False,False,False
1007,3,5,1,1,False,False,False
29303,1,5,1,1,False,False,False
9877,1,4,1,1,False,False,False
2154,2,5,1,2,False,False,False
42291,1,1,1,1,True,False,False
42153,1,1,1,1,True,False,False
9816,1,4,1,1,False,False,False
29449,1,5,1,1,False,False,False
2058,2,5,1,2,False,True,False
27232,1,5,1,1,False,False,False
12543,1,4,1,1,False,False,False
42065,1,1,1,1,True,False,False
26871,1,5,1,1,False,False,False
9892,1,4,1,2,False,False,False
1889,1,5,1,1,False,True,False
27020,2,5,1,2,False,False,True
1798,2,5,1,1,False,False,False
9861,5,4,1,3,False,True,False
29393,2,5,1,2,False,False,True
26892,1,5,1,1,False,True,False
42383,1,1,1,1,True,False,False
10150,3,4,1,2,False,False,True
29491,1,5,1,1,False,True,False
1781,1,5,1,1,False,False,False
1982,2,5,1,2,False,False,False
12339,3,4,1,2,False,False,True
29260,1,5,1,1,False,False,False
29537,1,5,1,1,False,True,False
1003,1,5,1,1,False,False,False
1881,2,5,1,1,False,False,False
29671,1,5,1,1,False,False,False
42186,1,1,1,1,True,False,False
1969,2,5,1,2,False,False,False
1885,1,5,1,1,False,False,False
29710,1,5,1,1,False,False,False
1922,2,5,1,2,False,False,False
42237,2,1,1,1,False,False,False
42409,1,1,1,1,True,False,False
1971,1,5,1,1,False,False,False
1014,2,5,1,2,False,False,True
2052,2,5,1,2,False,False,False
12254,2,4,1,2,False,False,True
2057,4,5,1,2,False,False,True
29429,1,5,1,1,False,True,False
1104,1,5,1,1,False,False,False
26854,3,5,1,2,False,False,True
12544,1,4,1,1,False,False,False
29442,1,5,1,1,False,False,False
9774,1,4,1,1,False,False,False
29230,3,5,1,2,False,False,True
42306,2,1,1,2,False,True,False
42244,2,1,1,2,False,False,False
26919,2,5,1,1,False,False,True
9441,2,4,1,2,False,False,True
29253,3,5,1,2,False,False,True
1208,4,5,1,2,False,True,False
29333,2,5,1,2,False,True,False
9845,1,4,1,1,False,False,False
1358,2,5,1,1,False,False,False
1079,3,5,1,2,False,False,True
9760,1,4,1,1,False,False,False
29354,1,5,1,1,False,False,False
42078,1,1,1,1,False,True,False
27257,1,5,1,1,False,False,False
2033,3,5,1,2,False,False,True
29609,1,5,1,1,False,False,False
42023,1,1,1,2,False,False,False
42121,1,1,1,1,True,False,False
29700,1,5,1,1,False,True,False
27008,3,5,1,2,False,False,True
42112,3,1,1,2,False,False,True
1943,2,5,1,1,False,False,False
12128,3,4,1,3,False,True,False
1900,1,5,1,1,False,True,False
42160,1,1,1,1,True,False,False
1656,1,5,1,1,False,False,False
2040,1,5,1,1,False,False,False
1663,1,5,1,1,False,False,False
42268,1,1,1,1,True,False,False
27109,2,5,1,2,False,False,False
27274,1,5,1,1,False,False,False
42475,1,1,1,2,False,False,True
12113,2,4,1,1,False,False,False
42350,1,1,1,1,True,False,False
1371,2,5,1,2,False,False,False
1813,1,5,1,1,False,False,False
42247,1,1,1,1,True,False,False
