,sent-id,amr_length
0,989,1
1,990,1
2,991,1
3,992,1
4,993,1
5,994,1
6,995,1
7,996,1
8,997,1
9,998,1
10,999,1
11,1000,1
12,1001,1
13,1002,1
14,1003,1
15,1004,1
16,1005,1
17,1006,1
18,1007,1
19,1012,1
20,1013,1
21,1014,1
22,1015,1
23,1016,1
24,1017,1
25,1018,1
26,1019,1
27,1020,1
28,1022,1
29,1023,1
30,1024,1
31,1025,2
32,1026,1
33,1028,1
34,1029,1
35,1030,1
36,1031,1
37,1032,1
38,1033,1
39,1034,1
40,1035,1
41,1036,1
42,1037,1
43,1038,1
44,1039,1
45,1040,1
46,1041,1
47,1042,1
48,1043,1
49,1044,1
50,1045,1
51,1046,1
52,1047,1
53,1048,1
54,1049,1
55,1050,1
56,1052,1
57,1054,2
58,1055,1
59,1056,1
60,1057,1
61,1058,1
62,1059,1
63,1060,1
64,1061,1
65,1062,1
66,1063,1
67,1064,1
68,1065,1
69,1066,1
70,1068,1
71,1069,1
72,1070,1
73,1071,1
74,1072,1
75,1073,1
76,1076,1
77,1077,1
78,1079,1
79,1080,1
80,1083,1
81,1085,1
82,1086,1
83,1087,1
84,1089,2
85,1090,1
86,1091,1
87,1092,1
88,1093,1
89,1094,1
90,1096,1
91,1097,1
92,1099,2
93,1100,1
94,1101,1
95,1103,2
96,1104,1
97,1105,1
98,1106,1
99,1108,1
100,1109,1
101,1110,1
102,1111,1
103,1112,1
104,1113,1
105,1117,2
106,1118,1
107,1120,1
108,1121,1
109,1122,1
110,1123,1
111,1125,1
112,1126,1
113,1127,1
114,1129,1
115,1130,1
116,1131,1
117,1132,1
118,1133,1
119,1134,1
120,1135,1
121,1136,1
122,1137,1
123,1138,1
124,1139,1
125,1140,1
126,1141,1
127,1142,1
128,1143,1
129,1144,1
130,1147,1
131,1148,1
132,1149,1
133,1150,1
134,1151,1
135,1153,1
136,1154,1
137,1155,1
138,1156,1
139,1157,1
140,1158,1
141,1159,1
142,1160,1
143,1161,1
144,1162,1
145,1163,1
146,1164,1
147,1165,1
148,1166,1
149,1167,1
150,1168,1
151,1169,1
152,1170,1
153,1171,1
154,1172,1
155,1178,1
156,1179,1
157,1181,1
158,1182,1
159,1184,1
160,1185,1
161,1186,1
162,1187,1
163,1189,1
164,1191,1
165,1193,1
166,1194,1
167,1195,1
168,1196,1
169,1197,1
170,1199,1
171,1201,1
172,1203,1
173,1204,1
174,1205,1
175,1206,1
176,1207,1
177,1208,1
178,1209,1
179,1211,1
180,1213,1
181,1215,1
182,1216,1
183,1217,1
184,1218,1
185,1219,1
186,1222,1
187,1226,1
188,1227,1
189,1228,1
190,1229,1
191,1230,1
192,1231,1
193,1232,1
194,1233,1
195,1234,1
196,1235,1
197,1236,1
198,1237,1
199,1238,1
200,1239,1
201,1240,1
202,1241,1
203,1242,1
204,1243,1
205,1244,1
206,1245,1
207,1246,1
208,1252,1
209,1269,1
210,1271,1
211,1272,1
212,1273,1
213,1274,1
214,1275,1
215,1276,1
216,1277,1
217,1278,1
218,1279,1
219,1280,1
220,1281,1
221,1283,1
222,1287,1
223,1289,1
224,1290,1
225,1291,1
226,1292,1
227,1293,1
228,1294,1
229,1295,1
230,1296,1
231,1298,1
232,1301,1
233,1302,1
234,1310,1
235,1311,1
236,1312,1
237,1313,1
238,1314,1
239,1315,1
240,1316,1
241,1318,1
242,1319,1
243,1320,1
244,1322,1
245,1324,1
246,1325,1
247,1327,1
248,1328,1
249,1329,1
250,1330,1
251,1332,1
252,1333,1
253,1334,1
254,1335,1
255,1336,1
256,1337,1
257,1338,1
258,1339,1
259,1340,1
260,1341,1
261,1342,1
262,1343,1
263,1344,1
264,1345,1
265,1347,1
266,1348,1
267,1349,1
268,1350,1
269,1351,1
270,1352,1
